broker,stock,buy_date,buy_price,sale_date,sale_price,qty
AngelOne,IRFC,09-11-2023,83.3,09-18-2023,76.5,30
AngelOne,COCHINSHIP,09-27-2023,1113,,0,2
AngelOne,PASUPTAC,09-28-2023,39.14,,0,75
AngelOne,PARAGMILK,09-29-2023,215.7,,0,14
AngelOne,SUNTV,10-03-2023,621.4,,0,5
AngelOne,METROBRAND,10-03-2023,1286.8,,0,2
AngelOne,EDELWEISS,10-03-2023,62.8,,0,50
AngelOne,SUZLON,10-04-2023,28.25,,0,109
AngelOne,EDELWEISS,10-05-2023,73.9,,0,40
AngelOne,GIPCL,10-11-2023,165.15,,0,16
AngelOne,PAKKA,10-12-2023,285.2,,0,11
